candidate_idx,zipcode,size,capacity_add,u5_add,latitude,longitude
49656,11549,small,100,50,40.71001836109322,-73.60179713209304
49705,11550,large,400,200,40.705442007289975,-73.62615247590747
49706,11550,large,400,200,40.708452994333605,-73.61418865555906
49708,11550,large,400,200,40.7010224103443,-73.62511045345708
49709,11550,large,400,200,40.70886425485528,-73.62677530023684
49753,11550,large,400,200,40.70936040581445,-73.60836472057093
49754,11550,large,400,200,40.70134186986038,-73.62022557492415
49755,11550,large,400,200,40.69841185337755,-73.61699136602506
49771,11550,large,400,200,40.69771270478377,-73.61535925169632
49773,11550,large,400,200,40.70940354414881,-73.62444636759048
49774,11550,large,400,200,40.70740823101234,-73.62471652773992
49775,11550,large,400,200,40.7123412194144,-73.61811433250352
49924,11552,large,400,200,40.68449443779552,-73.64515285523149
49967,11552,large,400,200,40.68433219885948,-73.64831330834592
49994,11552,large,400,200,40.684537757579314,-73.65112099050752
50004,11553,large,400,200,40.69446564115727,-73.5864061849911
50006,11553,large,400,200,40.7070778716266,-73.59980702052343
50050,11553,large,400,200,40.70358260099773,-73.59113380408058
50051,11553,large,400,200,40.70737722728275,-73.58258280230038
50052,11553,large,400,200,40.69809932977444,-73.58849380730042
50074,11553,large,400,200,40.7000119724629,-73.5849536656564
50114,11554,large,400,200,40.72292229961646,-73.54955676832596
50134,11554,large,400,200,40.7071456831017,-73.56208600571503
50154,11554,large,400,200,40.71742299513776,-73.56000722438534
50192,11554,large,400,200,40.71218646120361,-73.55168825709222
50199,11554,large,400,200,40.71557562929574,-73.56296943694348
50468,11557,medium,200,100,40.63333193846026,-73.69645493232261
50507,11558,large,400,200,40.60189099498526,-73.66528483123362
50595,11558,small,100,50,40.60392979072527,-73.66440349773438
50700,11560,large,400,200,40.87642379679793,-73.5966084206137
50818,11561,large,400,200,40.58537680530542,-73.66304910501472
50829,11561,large,400,200,40.58323889554399,-73.6539917428775
50854,11561,large,400,200,40.59242286178212,-73.66231468565884
51080,11565,large,400,200,40.68195298928021,-73.66340822260258
51137,11566,large,400,200,40.672269262542265,-73.56270870772141
51399,11569,small,100,50,40.59894215510105,-73.58386863961441
51403,11570,large,400,200,40.66781134457317,-73.63853912381559
51425,11570,large,400,200,40.65773493973279,-73.63473089646088
51611,11572,large,400,200,40.63455063421175,-73.63000188050036
51702,11575,large,400,200,40.68791856876117,-73.58063987875738
51750,11575,large,400,200,40.68249953909813,-73.586567684505
51775,11575,large,400,200,40.678633838565005,-73.5847398598219
51778,11575,large,400,200,40.68814210710912,-73.58736313056096
51903,11577,large,400,200,40.780378465696,-73.63711791911994
52079,11579,large,400,200,40.85357456652265,-73.64569361234571
52101,11580,large,400,200,40.68183439511794,-73.70147191691784
52149,11580,large,400,200,40.66619303998109,-73.69650396639166
52159,11580,large,400,200,40.67834446649415,-73.71430062565578
52251,11581,large,400,200,40.64608919283441,-73.70639965559948
52273,11581,large,400,200,40.64998351334562,-73.72109221884106
52299,11581,large,400,200,40.64268778789874,-73.71884731131551
52402,11590,large,400,200,40.74674908835113,-73.56532752852682
52403,11590,large,400,200,40.76210407455125,-73.56362344216217
52404,11590,large,400,200,40.76182000460178,-73.57336223791499
52405,11590,large,400,200,40.75193238616736,-73.58025150911416
52426,11590,large,400,200,40.750740910876885,-73.56949358846327
52444,11590,large,400,200,40.75707915973747,-73.57162564014953
52448,11590,large,400,200,40.746906960157,-73.57888268302806
52594,11596,large,400,200,40.758637070783394,-73.63513086074471
52619,11598,large,400,200,40.63697428220503,-73.71799040187094
52699,11598,large,400,200,40.62420906189888,-73.71732445142082
52909,11691,large,400,200,40.5945373405733,-73.75304347106926
52911,11691,large,400,200,40.609266026961954,-73.76184550787782
52912,11691,large,400,200,40.5963974013773,-73.75535252240398
52917,11691,large,400,200,40.60238309394285,-73.7599745107144
52920,11691,large,400,200,40.60403322894758,-73.7677424816162
52921,11691,large,400,200,40.60603491363008,-73.75369953736909
52924,11691,large,400,200,40.593926538467386,-73.75197438493326
52965,11691,large,400,200,40.60030269371408,-73.75993436593488
52966,11691,large,400,200,40.61035781885365,-73.74812511292947
52968,11691,large,400,200,40.60603412728819,-73.75698975990744
52969,11691,large,400,200,40.59897465947297,-73.76288063286698
52971,11691,large,400,200,40.59225630121249,-73.7564782008328
52973,11691,large,400,200,40.60152698434655,-73.7497827054308
52984,11691,large,400,200,40.60590436910888,-73.76117811218712
52986,11691,large,400,200,40.60733849729159,-73.76615329848889
52987,11691,large,400,200,40.59275512899016,-73.76388640053516
52988,11691,large,400,200,40.59706182791625,-73.75643350320772
52990,11691,large,400,200,40.60744130145941,-73.74858136040372
52993,11691,large,400,200,40.60669753858539,-73.76746834099305
53001,11692,large,400,200,40.5838377214962,-73.78665762091899
53002,11692,large,400,200,40.60217848925827,-73.79422192499425
53021,11692,small,100,50,40.596613362092974,-73.79357056232452
53023,11692,large,400,200,40.59916208985636,-73.78777920037776
53024,11692,large,400,200,40.59764265478061,-73.80321609414686
53045,11692,large,400,200,40.60116755198392,-73.7837626311277
53147,11693,large,400,200,40.61386955238646,-73.82628370668523
53196,11693,large,400,200,40.60934958271939,-73.81865400665892
53211,11694,large,400,200,40.58344996206958,-73.84412478758276
53234,11694,large,400,200,40.58200332623654,-73.8428009166269
53254,11694,large,400,200,40.5807465254832,-73.84143474512042
53296,11694,large,400,200,40.57445086811107,-73.84255307306238
53401,11697,large,400,200,40.56375210787731,-73.89878929051461
53500,11701,large,400,200,40.691887226361686,-73.41078431710746
53527,11701,large,400,200,40.6809070675618,-73.41059757999648
53575,11701,large,400,200,40.67699265602661,-73.4111752260723
53623,11702,large,400,200,40.691528481373176,-73.32439157422002
53644,11702,large,400,200,40.69661695740721,-73.33050762723414
53717,11703,large,400,200,40.72579927845504,-73.32185849989787
53735,11703,large,400,200,40.74172876692929,-73.316825590362
53817,11704,large,400,200,40.7184366157875,-73.3618467548646
53836,11704,large,400,200,40.71064418610752,-73.34708744336665
53858,11704,large,400,200,40.71584718858794,-73.36321138226653
53877,11704,large,400,200,40.72297356511101,-73.3636555579492
53899,11704,large,400,200,40.71439397997558,-73.35680778087574
53900,11705,large,400,200,40.74813583924175,-73.04691577816033
54000,11706,large,400,200,40.70242132123593,-73.24857804099649
54010,11706,large,400,200,40.70319494829909,-73.24978981953674
54021,11706,large,400,200,40.70796671859007,-73.24663512260193
54024,11706,large,400,200,40.70703109589606,-73.24681390450208
54033,11706,large,400,200,40.70612769015524,-73.23706221795885
54039,11706,large,400,200,40.70682047636682,-73.24977031709032
54063,11706,large,400,200,40.6957069344971,-73.2510819645474
54077,11706,large,400,200,40.71153052350488,-73.24047326733908
54284,11709,large,400,200,40.90050450086032,-73.56416336530117
54301,11710,large,400,200,40.6638944795254,-73.54033279770762
54345,11710,large,400,200,40.6760998864095,-73.54475010871089
54419,11713,large,400,200,40.777657927332136,-72.94965988373495
54429,11713,medium,200,100,40.776863916747686,-72.94852972702394
54524,11714,large,400,200,40.743231581039865,-73.47634627119982
54597,11714,large,400,200,40.74217109902919,-73.47896722065391
54615,11715,medium,200,100,40.75132461066179,-73.03791639240781
54652,11715,small,100,50,40.760023135768776,-73.02991440779299
54803,11717,large,400,200,40.78284939053624,-73.26002579672681
54813,11717,large,400,200,40.78543732987266,-73.2507964468664
54824,11717,large,400,200,40.772700317391966,-73.25513007760836
54835,11717,large,400,200,40.78905825625971,-73.2499275678067
54844,11717,large,400,200,40.77270779861211,-73.25144359779792
54853,11717,large,400,200,40.78974939212495,-73.24433017518076
54859,11717,large,400,200,40.775971453889845,-73.25684226670236
54862,11717,large,400,200,40.78863909096927,-73.24389895514337
54873,11717,large,400,200,40.78467567287198,-73.24489048176464
54883,11717,large,400,200,40.79050737711236,-73.24935903394359
54909,11718,medium,200,100,40.728004544829446,-73.27010733203554
55021,11719,small,100,50,40.78581828495954,-72.89312483728776
55100,11720,large,400,200,40.87534983852901,-73.08662516008913
55120,11720,large,400,200,40.87722596437439,-73.07652916264588
55149,11720,large,400,200,40.86141499513296,-73.08398627240362
55169,11720,large,400,200,40.870733606468015,-73.08387852235988
55173,11720,large,400,200,40.87290550641526,-73.0910793766215
55299,11721,small,100,50,40.8994092543816,-73.37102120117108
55306,11722,large,400,200,40.78090193647312,-73.19291933430604
55318,11722,large,400,200,40.7892997541486,-73.1901028258406
55333,11722,large,400,200,40.79054112444032,-73.20201961271445
55346,11722,large,400,200,40.79426559998908,-73.20269931182281
55364,11722,large,400,200,40.782500081750456,-73.1866343463418
55374,11722,large,400,200,40.78124265332024,-73.20396800165793
55389,11722,large,400,200,40.793501791925614,-73.19380939079512
55390,11722,large,400,200,40.78952661681865,-73.18709189716496
55406,11724,medium,200,100,40.8567471517649,-73.44825115164502
55601,11726,large,400,200,40.66878770873216,-73.40422115623163
55624,11726,large,400,200,40.67701889074598,-73.39613974053246
55648,11726,large,400,200,40.67173555358856,-73.38711647113374
55651,11726,large,400,200,40.6873147198828,-73.39366001177594
55693,11726,large,400,200,40.68405472696426,-73.40332998710943
55724,11727,large,400,200,40.88564522228686,-73.01134986239715
55731,11727,large,400,200,40.89243667448005,-73.00981404262977
55763,11727,large,400,200,40.893201693373,-73.01148863533399
55772,11727,large,400,200,40.883591912298776,-73.01380243906856
55818,11729,large,400,200,40.75449999348576,-73.32088253078896
55868,11729,large,400,200,40.75013789293175,-73.3181410173602
55899,11729,large,400,200,40.75539084098839,-73.33525023593901
